Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset
sub-02,uc3,Comedy,244.0,274.0,30,3,3,2,0.04088898036559335,-0.017760916695741265,0.25757417518122666,-0.1482499701793113,-0.0322051033894026,-0.14374128773744993,0.01294556309485716,-0.027973177279068957,0.44937248246705835
sub-02,rh10,Horror,288.0,318.0,30,4,2,3,-0.1301867125303946,0.06569999184668583,-0.001217587251760921,-0.17814947060770803,-0.0467055215343745,0.08208578524277413,-0.03651905695868936,-0.22165446905179187,-0.3718860119527201
sub-02,rc4,Comedy,332.0,362.0,30,3,3,1,0.08819322314759029,0.06772492562566894,0.30411885314157666,-0.03869704416288102,-0.11329792044222482,0.23543888082892597,0.04491980186846193,0.057420075844730425,0.17815247816734453
sub-02,rh4,Horror,380.0,410.0,30,4,2,3,0.11788106001991232,-0.018137656980182458,-0.3343261541899169,-0.132940799912657,-0.17744329820714355,-0.29526143103359115,-0.025937251610779477,0.24266521189939388,-0.25748932901125376
sub-02,uc2,Comedy,428.0,458.0,30,2,4,2,-0.26731605285209964,-0.1635962591940918,-0.10365339225852663,0.237490111440101,-0.04148201009511796,0.33090971895340704,0.013519289515018795,-0.0703425472001796,-0.24632159109887683
sub-02,rh5,Horror,476.0,506.0,30,4,3,3,0.16542704312101367,0.03764380128693527,0.20502718429868164,-0.1595826590334985,0.08251503328312434,-0.06077370541864735,-0.31604264047311126,-0.14495314453487157,-0.14894367886584686
sub-02,rh8,Horror,520.0,550.0,30,4,2,4,0.05067186900951197,0.25339812090422403,0.32551955621952733,0.10115005216842918,0.16064119668405674,0.4776340664939477,-0.16591377460301093,0.050968344468928985,0.07525956988396479
sub-02,rc10,Comedy,568.0,598.0,30,3,3,2,0.002481498424052181,-0.07803155404433673,0.1793225958253721,0.00466949638854882,-0.02436177110740611,0.05428511768898144,0.05601164545447801,-0.09560691902061011,-0.39111538000970975
sub-02,uh3,Horror,616.0,646.0,30,4,3,3,0.01530418850109272,-0.11804018108062317,0.14647359888854394,0.12772548732954742,-0.07617082714563347,-0.3383330781203237,-0.019919683738504435,0.05960783483137124,-0.0014738915742898554
sub-02,rc7,Comedy,660.0,690.0,30,4,4,2,-0.19830459065541578,0.02321719663483652,0.21664527072801937,-0.002599913737830106,-0.1449320519435338,0.06235017191964878,0.017018559700417286,-0.17580518682607346,0.2258065265853742
sub-02,uh4,Horror,704.0,734.0,30,4,3,3,-0.07653901440376655,0.20093146657412647,0.07515495847645146,-0.17699383216547232,-0.061341321199490206,-0.06741131575090384,-0.17338394759862713,-0.0632905185467849,-0.02452098560179766
